iter	Passed	Remaining
0	2611	2608658
1	5045	2517658
2	7077	2351939
3	8876	2210322
4	10777	2144761
5	12682	2101019
6	14826	2103292
7	16685	2068978
8	19065	2099317
9	21302	2108983
10	23019	2069699
11	25022	2060154
12	27222	2066828
13	29346	2066860
14	31525	2070181
15	33488	2059514
16	35517	2053748
17	38317	2090448
18	40835	2108379
19	42882	2101230
20	44529	2075902
21	46688	2075535
22	48628	2065666
23	50596	2057600
24	52477	2046621
25	54426	2038914
26	55942	2016015
27	57887	2009522
28	59813	2002730
29	61599	1991701
30	63610	1988347
31	65529	1982263
32	67254	1970766
33	69159	1964951
34	71105	1960467
35	73007	1954972
36	74862	1948457
37	76998	1949270
38	79241	1952592
39	81400	1953623
40	83372	1950108
41	85513	1950526
42	87259	1942020
43	89320	1940680
44	91322	1938074
45	93441	1937902
46	95562	1937685
47	97634	1936412
48	99381	1928807
49	101289	1924492
50	103472	1925391
51	105076	1915619
52	107066	1913061
53	108580	1902170
54	110315	1895412
55	112227	1891836
56	113769	1882182
57	115623	1877889
58	117520	1874344
59	119142	1866571
60	120926	1861476
61	123077	1862045
62	124888	1857461
63	126748	1853695
64	128502	1848456
65	130440	1845927
66	132322	1842643
67	134328	1841087
68	136135	1836840
69	137538	1827295
70	139398	1823954
71	140944	1816614
72	142792	1813269
73	144494	1808133
74	146306	1804452
75	148350	1803624
76	150342	1802163
77	152252	1799704
78	153977	1795100
79	155797	1791666
80	158788	1801567
81	160703	1799095
82	162217	1792209
83	164224	1790825
84	165734	1784087
85	167917	1784609
86	169757	1781480
87	171646	1778885
88	173896	1779996
89	176245	1782039
90	178546	1783501
91	180483	1781292
92	182412	1779015
93	184904	1782160
94	186729	1778840
95	188588	1775879
96	190599	1774342
97	192065	1767788
98	193297	1759206
99	194618	1751569
100	196648	1750365
101	198887	1750993
102	200951	1750037
103	203002	1748942
104	204716	1744962
105	206771	1743901
106	208233	1737877
107	210111	1735369
108	211936	1732431
109	213486	1727297
110	215570	1726503
111	217767	1726584
112	219780	1725183
113	221410	1720783
114	223547	1720343
115	225502	1718481
116	227580	1717551
117	229571	1715949
118	231628	1714829
119	233576	1712891
120	235659	1711937
121	237555	1709622
122	239117	1704924
123	241119	1703390
124	242907	1700349
125	244780	1697920
126	246503	1694465
127	248595	1693555
128	250420	1690820
129	252430	1689345
130	254430	1687790
131	255911	1682811
132	258176	1683002
133	260201	1681601
134	262088	1679309
135	264151	1678136
136	266395	1678094
137	267920	1673534
138	269542	1669612
139	270761	1663246
140	272953	1662884
141	274418	1658107
142	276383	1656366
143	278596	1656101
144	280420	1653515
145	281942	1649168
146	283744	1646489
147	285866	1645665
148	287782	1643642
149	289312	1639439
150	291596	1639505
151	293856	1639409
152	295700	1636980
153	297774	1635824
154	300133	1636210
155	301707	1632316
156	303899	1631765
157	306226	1631915
158	307796	1628031
159	310014	1627576
160	311450	1623024
161	313361	1620968
162	315459	1619876
163	317381	1617870
164	319299	1615849
165	321225	1613866
166	322627	1609275
167	324378	1606443
168	325676	1601403
169	327618	1599548
170	329344	1596648
171	330841	1592655
172	332094	1587528
173	334046	1585759
174	336296	1585399
175	338325	1583978
176	340360	1582579
177	342172	1580145
178	343986	1577724
179	345366	1573336
180	347098	1570572
181	348608	1566822
182	349724	1561337
183	350912	1556222
184	352980	1555023
185	354264	1550383
186	356259	1548869
187	358195	1547101
188	360503	1546924
189	361798	1542405
190	362677	1536157
